galaxy,distance,diameter,text
MilkyWay,0027,180000,The home galaxy of humankind. The galaxy that contains the Solar System where the Earth orbits the Sun.
Sagittarius Dwarf Sphr,0081,10000,The 
Ursa Major II Dwarf,0098,1800,The 
Large Magellanic Cloud,0163,14000,The 
Small Magellanic Cloud,0206,7000,The 
DracoDwarf,0258,330000,The Draco Dwarf is a spheroidal galaxy which was discovered by Albert George Wilson of Lowell Observatory in 1954 on photographic plates of the National Geographic Society's Palomar Observatory Sky Survey (POSS)
NGC 2419 ,0275,520, NGC 2419 is a globular cluster in the constellation Lynx. It was discovered by William Herschel on December 31, 1788
Sextans,0281,8400, Sextans is a minor equatorial constellation which was introduced in 1687 by Johannes Hevelius. Its name is Latin for the astronomical sextant, an instrument that Hevelius made frequent use of in his observations
Carina Dwarf ,0330,1600 ,The Carina Dwarf Spheroidal Galaxy is a dwarf galaxy in the Carina constellation. It was discovered in 1977 with the UK Schmidt Telescope by Cannon et al
Leo II Dwarf ,0701,4100,hgfhfgh
